ID;text;label
88;после загрузки ИНН статус меняется на проверка и так уже 3 дня;KYC_VERIFICATION
89;на новом телефоне пишет «аккаунт не найден», на старом всё работает;APP_LOGIN
90;нужен адрес куда направлять документы для разблокировки;ACCOUNT_SEIZED
91;заверенная копия паспорта не подходит требуется оригинал скан верно;KYC_VERIFICATION
92;код из смс приходит с задержкой 12–15 минут не успеваю войти;APP_LOGIN
93;авторизация через браузер внутри приложения висит вечная загрузка;APP_TECH
94;на почту пришло уведомление об аресте в приложении пусто поясните;ACCOUNT_SEIZED
95;в истории вход с нового устройства город не мой;FRAUD_SUSPECTED
96;верификация отклонена пишет некорректный документ фото четкое;KYC_VERIFICATION
97;SEPA из Германии обычно день сейчас второй день пусто;INCOMING_DELAY
98;включение входа по отпечатку даёт biometric api error;APP_TECH
99;бесконтактная не работает терминал просит вставить карта;CARD_ISSUE
100;транслитерация имени не принимается какой формат нужен;KYC_VERIFICATION
101;ночью операция в иностранном магазине я не платил;FRAUD_SUSPECTED
102;операция запрещена даже внутри банка это из-за ограничений;ACCOUNT_SEIZED
103;после оплаты по nfc терминал завис и списал дважды;FRAUD_SUSPECTED
104;спор по операции висит 10 дней прошу ускорить;FRAUD_SUSPECTED
105;после переустановки приложение просит подтвердить устройство, на почту ничего не приходит как войти;APP_LOGIN
106;возврат депозита брокером обещан вчера денег нет;INCOMING_DELAY
107;входящие средства ограничены по постановлению прошу частичное снятие;ACCOUNT_SEIZED
108;ограничили входящие и исходящие по запросу органа сроки снятия?;ACCOUNT_SEIZED
109;экспорт выписки в CSV создаёт пустой файл 0 байт;APP_TECH
110;арест ФССП без уведомления прошу реквизиты для оплаты постановления;ACCOUNT_SEIZED
111;смена пин в приложении не сохраняется пишет операция отклонена;CARD_ISSUE
112;реестр зарплаты загружен начисления мне не пришли;INCOMING_DELAY
113;оплата телефона через шаблон падает ошибка 400 неверные параметры хотя шаблон старый рабочий;PAYMENT_OUT_FAIL
114;перевод по реквизитам создан но кнопка подписать неактивна;PAYMENT_OUT_FAIL
115;после загрузки ИНН три дня висит «на проверке»;KYC_VERIFICATION
116;двойной холд в отеле списали и залог и оплата разберитесь;FRAUD_SUSPECTED
117;оставили меньше прожиточного минимума прошу вернуть часть средств;ACCOUNT_SEIZED
118;банкомат списал сумму и не выдал наличные вернуть деньги;CARD_ISSUE
119;спор по операции висит 11 дней просьба ускорить;FRAUD_SUSPECTED
120;PIN заблокирован после неверных попыток как сменить онлайн;CARD_ISSUE
121;комплаенс запросил выписки прислал ответ «недостаточно» что ещё;ACCOUNT_SEIZED
122;реестр зарплаты загрузили у меня на счете ноль;INCOMING_DELAY
123;сессии с нового браузера отображаются закройте все;FRAUD_SUSPECTED
124;ночью прошла покупка в usd я в это время спал оспорьте операцию;FRAUD_SUSPECTED
125;возврат налога через госслужбу в статусе отправлено на зачисление но пусто;INCOMING_DELAY
126;перевод на карту другого банка отклонён лимит не превышен почему отказ;PAYMENT_OUT_FAIL
127;договоры и счета-фактуры загрузил подтвердите принятие;ACCOUNT_SEIZED
128;при открытии раздела карты приложение зависает помогает только перезапуск;APP_TECH
129;двойной залог в отеле заблокировали больше чем надо;FRAUD_SUSPECTED
130;подозрительная активность в 3 ночи операции мелкими суммами;FRAUD_SUSPECTED
131;MRZ не считывается фото чёткое камера чистая как пройти;KYC_VERIFICATION
132;При попытке сменить телефон для входа — «ошибка сервера (500)». Переустановка не помогает.;APP_TECH
133;вчера отправили сеpa платеж, сегодня еще нет денег где отслеживать статус;INCOMING_DELAY
134;сменил телефон теперь пишет устройство не доверенное и не пускает в аккаунт;APP_LOGIN
135;паспорт загрузил, пишет фото размыто, хотя все четко;KYC_VERIFICATION
136;SEPA EUR отправили вчера днём у меня ноль где статус;INCOMING_DELAY
137;документы отправил на адрес из письма неделю назад тишина;ACCOUNT_SEIZED
138;квитанция ЖКХ отклонена пишет «документ не принят»;KYC_VERIFICATION
139;кэшбэк до 5 рабочих дней прошло 9 ничего не начислено;INCOMING_DELAY
140;новая карта не активируется автоответчик сбрасывает;CARD_ISSUE
141;возврат за отменённый заказ создан позавчера средств нет;INCOMING_DELAY
142;приставы наложили арест уведомление не приходило нужны реквизиты оплаты;ACCOUNT_SEIZED
143;попытались оформить кредит на меня уведомление пришло я не подавал;FRAUD_SUSPECTED
144;терминалы часто отказывают с первого раза оплата проходит со второй;CARD_ISSUE
145;Видео-селфи зависает на 30-й секунде и пишет: «повторите позже». Пробовал три раза.;KYC_VERIFICATION
146;крутится «проверка безопасности», через минуту выкидывает назад;APP_LOGIN
147;перевод по СБП висит «обрабатывается» уже 2 часа деньги не списаны;PAYMENT_OUT_FAIL
148;при входе просит капчу но она не загружается как пройти;APP_LOGIN
149;при входе пишет 403 доступ запрещен раньше все работало;APP_LOGIN
150;Оплата в App Store: требует другую карту, моя отклоняется без кода подтверждения.;PAYMENT_OUT_FAIL
151;Платёж на карту другого банка отклонён: «лимит превышен», лимит далеко не исчерпан.;PAYMENT_OUT_FAIL
152;учетная запись найдена но просит старый номер;APP_LOGIN
153;списание больше чека разница 120 рублей;FRAUD_SUSPECTED
154;двойное списание в магазине чек один верните лишнее;FRAUD_SUSPECTED
155;ФИО в анкете совпадает с паспортом но система пишет не совпадает;KYC_VERIFICATION
156;не получается войти через веб пишет пользователь не найден а в мобильном я авторизован;APP_LOGIN
157;веб показывает авторизацию с нового устройства закройте все сессии;FRAUD_SUSPECTED
158;операция запрещена внутри банка из-за ограничений;ACCOUNT_SEIZED
159;Слишком много попыток, блок на сутки. Можно ли снять раньше;APP_LOGIN
160;перевод по СБП завис на «создан» кнопка отправить неактивна;PAYMENT_OUT_FAIL
161;видеоидентификация обрывается на 18 секунде просит повторить;KYC_VERIFICATION
162;перевыпущенная карта не видна в приложении;CARD_ISSUE
163;после NFC терминал завис и провёл платёж дважды;FRAUD_SUSPECTED
164;двухфакторка включена но нет уведомлений и кодов;APP_LOGIN
165;Перевод по реквизитам ушёл, статус неизвестен, в истории пусто.;PAYMENT_OUT_FAIL
166;перевод внутри банка отклонён службой безопасности требуется проверка;ACCOUNT_SEIZED
167;Зачисление от работодателя обычно утром, сегодня тишина до вечера. Проверьте, пожалуйста.;INCOMING_DELAY
168;кэшбэк завис уже 10 рабочих дней когда начислят;INCOMING_DELAY
169;арест счетов пришел ночью уведомлений не было как оплатить;ACCOUNT_SEIZED
170;частичный возврат пришёл вторая часть не пришла уже неделю;INCOMING_DELAY
171;SWIFT EUR: банк-корреспондент отклонил, комментариев нет.;PAYMENT_OUT_FAIL
172;Паспорт загружается, но пишет «размытое фото». Фото чёткое, проверял.;KYC_VERIFICATION
173;Ссылка на вход по e-mail приходит, открываю — «истёк срок действия».;APP_LOGIN
174;веб ок, мобильное пишет «аккаунт не найден», логин тот же;APP_LOGIN
175;после смены ОКВЭД наложили заморозку что предоставить;ACCOUNT_SEIZED
176;регулярный платёж списался дважды в один день отмените дубль;PAYMENT_OUT_FAIL
177;к сервису привязалась пробная подписка сама списала полно стоимость;FRAUD_SUSPECTED
178;SEPA перевод из Италии отправлен вчера у меня ноль где статус;INCOMING_DELAY
179;карта деформирована согнута терминалы иногда не видят прошу перевыпуск;CARD_ISSUE
180;в терминале просит вставить карту бесконтактная оплата не работает магнитная полоса ok;CARD_ISSUE
181;обнаружил в выписке два одинаковых списания по 520 оба прошли верните одно;FRAUD_SUSPECTED
182;в приложении вижу вход с неизвестного устройства удалите сессию;FRAUD_SUSPECTED
183;Включил двухфакторную, теперь вход недоступен без push, а push не приходит. Как войти?;APP_LOGIN
184;пополнение с карты другого банка в мой кошелек висит без статуса;INCOMING_DELAY
185;фото паспорта бликует как правильно сфотографировать чтобы приняли;KYC_VERIFICATION
186;уведомления о поступлениях пропали в настройках всё включено;APP_TECH
187;жалоба на ограничения подана тишина третий день;ACCOUNT_SEIZED
188;раздел «Платежи» открывается по 20 секунд иногда вылетает;APP_TECH
189;карта не читается в терминале чип поврежден срочно перевыпуск;CARD_ISSUE
190;указал новый номер для 2fa но проверка идёт бесконечно;APP_LOGIN
191;ограничения без уведомления прошу указать причину и порядок обжалования;ACCOUNT_SEIZED
192;после изменения почты вход невозможен пишет неверный логин;APP_LOGIN
193;после обновления главный экран пустой баланс не грузится;APP_TECH
194;оставили меньше прожиточного прошу вернуть остаток на карточку;ACCOUNT_SEIZED
195;экран истории операций пустой хотя вчера были движения;APP_TECH
196;лимит на снятие нал ограничен нужно временно поднять;CARD_ISSUE
197;двойное списание Parking 300 руб чек один отмените;FRAUD_SUSPECTED
198;перевод по номеру у отправителя списался у меня не зачислился;INCOMING_DELAY
199;отмена покупки в онлайне оформлена средства не вернулись;INCOMING_DELAY
200;Не открываются PDF-выписки с мобильного, пишет «файл повреждён». На ноуте тоже не открывается.;APP_TECH
201;перевод юрлицу вернулся не совпадает наименование получателя с ИНН как указать правильно;PAYMENT_OUT_FAIL
202;частичный возврат пришёл вторая часть висит без статуса;INCOMING_DELAY
203;кэшбэк акция закончилась неделя назад начисления нет;INCOMING_DELAY
204;перевод от родственника по СБП задерживается обычно мгновенно;INCOMING_DELAY
205;Подписка «Music+» списалась три раза по 169 руб, оформлял один раз. Верните лишние списания.;FRAUD_SUSPECTED
206;межбанк на юрлицо вернулся назначение платежа не принято подскажите формулировку;PAYMENT_OUT_FAIL
207;перевыпущенная карта приехала но не видна в приложении;CARD_ISSUE
208;после обновления требует push но уведомления не приходят как войти;APP_LOGIN
209;Международный EUR: «IBAN некорректный», у получателя верный.;PAYMENT_OUT_FAIL
210;перевод юрлицу отклонен из-за назначения платежа подскажите как правильно;PAYMENT_OUT_FAIL
211;номер карты виден cvv скрыт кнопка показать не работает;CARD_ISSUE
212;карта не привязывается к кошельку пишет «эмитент не поддерживает»;CARD_ISSUE
213;перевод с площадки отправили банк говорит проверка у меня пусто;INCOMING_DELAY
214;не принимает перевод имени транслитерация другая как правильно указать;KYC_VERIFICATION
215;конвертация и зачисление входящего в тенге не выполнены;INCOMING_DELAY
216;письмо для подтверждения не приходит на почту;APP_LOGIN
217;паспорт читался с ошибкой поля распознались неверно как исправить;KYC_VERIFICATION
218;кэшбэк акция завершилась неделя назад начисления нет;INCOMING_DELAY
219;камера на видеоидентификации перевёрнута вверх ногами;APP_TECH
220;выписка показывает сервис подписки которого нет у меня;FRAUD_SUSPECTED
221;перевод по номеру у отправителя списался у меня не зачислился;INCOMING_DELAY
222;синхронизация профиля зависла данные не сохраняются;APP_TECH
223;после логина белый экран и назад на ввод пароля;APP_LOGIN
224;Оплата налога по УИН отклонена: «получатель недоступен». УИН верный, что делать?;PAYMENT_OUT_FAIL
225;3-D Secure не открывается, пустая страница, платёж отменяется;PAYMENT_OUT_FAIL
226;Оплата коммуналки: «операция невозможна, попробуйте позже». Пытался 4 раза.;PAYMENT_OUT_FAIL
227;Не работает сканер QR: пишет «нет доступа к камере», разрешения выданы.;APP_TECH
228;анкета зависает на последнем шаге крутится бесконечно;KYC_VERIFICATION
229;пополнение кошелька заблокировано mcc запрещён можно временно разрешить;PAYMENT_OUT_FAIL
230;После обновления до 12.4 приложение показывает пустой экран на главной.;APP_TECH
231;«Операция запрещена» при переводе внутри банка — это из-за ограничений по делу?;ACCOUNT_SEIZED
232;карта треснула терминалы часто отказывают нужна срочная замена;CARD_ISSUE
233;при первом входе просит подтвердить устройство а пуш зависает в ожидании;APP_LOGIN
234;ошибка токенизации при добавлении в gpay повторите позже не помогает;CARD_ISSUE
235;Ограничение операций без причин, в приложении только «обратитесь в банк». Нужны детали.;ACCOUNT_SEIZED
236;Face ID не срабатывает, пароль верный. Войти нельзя.;APP_LOGIN
237;паспорт другого государства не принимается укажите список допустимых;KYC_VERIFICATION
238;перевод с криптоплощадки фиат в проверке денег нет второй день;INCOMING_DELAY
239;входящее зачисление по реквизитам задерживается где проверить;INCOMING_DELAY
240;Push для входа не приходит уже второй день, смс тоже тишина.;APP_LOGIN
241;финмон запросил источник средств куда загрузить файлы;ACCOUNT_SEIZED
242;попытка загрузить документ заканчивается ошибкой 500;APP_TECH
243;поле комментария обрезает текст после ~50 символов;APP_TECH
244;карта демагнитилась полоса не читается чип тоже даёт сбой;CARD_ISSUE
245;Поступление из маркетплейса обычно в день продажи сегодня так и нет.;INCOMING_DELAY
246;покупка через кошелек прошла два раза чек один;FRAUD_SUSPECTED
247;не могу войти пишет устройство не доверено старого телефона нет как подтвердить;APP_LOGIN
248;двойной залог в отеле заблокировали сверх суммы;FRAUD_SUSPECTED
249;ИНН вводится правильно поле ругается формат невалидный;KYC_VERIFICATION
250;реестр зарплаты выгружен у коллег деньги есть у меня нет;INCOMING_DELAY
251;веб шустрый мобильное приложение тормозит листать невозможно;APP_TECH
252;сменил телефон и номер теперь пишет устройство не доверено доступ закрыт;APP_LOGIN
253;возврат по спору согласован но денег нет пятый день;INCOMING_DELAY
254;оставили меньше прожиточного прошу вернуть часть средств;ACCOUNT_SEIZED
255;переустановка и очистка кэша не помогли;APP_TECH
256;Оплата коммуналки: «операция невозможна, попробуйте позже», пробовал 5 раз.;PAYMENT_OUT_FAIL
257;камера перевернута на видео идентификации картинка вверх ногами;APP_TECH
258;куда направлять квитанцию об оплате постановления;ACCOUNT_SEIZED
259;виртуальная карта не создаётся «попробуйте позже»;CARD_ISSUE
260;двойной холд в гостинице заблокировали сверх оплаты освободите;FRAUD_SUSPECTED
261;платеж в магазине отменился а холд повис сколько ждать возврат;PAYMENT_OUT_FAIL
262;выписка показывает сервис которого не знаю отмена;FRAUD_SUSPECTED
263;операции запрещены даже внутри банка это из-за ареста;ACCOUNT_SEIZED
264;перевод клиента пришел в валюте конвертации и зачисления нет;INCOMING_DELAY
265;арест ФССП без уведомления прошу реквизиты для оплаты;ACCOUNT_SEIZED
266;платеж на карту втб пишет лимит превышен это не так;PAYMENT_OUT_FAIL
267;cvv скрыт и не раскрывается оплатить сервис невозможно;CARD_ISSUE
268;Перевод по СБП на 8 000 «в обработке» 2 часа, денег нет ни у меня, ни у получателя.;PAYMENT_OUT_FAIL
269;SWIFT USD отправлен четыре дня назад где увидеть трек статуса;INCOMING_DELAY
270;кэшбэк до 5 рабочих дней прошло 9 ничего не упало;INCOMING_DELAY
271;перевод с карты на карту отказ эмитента у получателя другая карта работает;PAYMENT_OUT_FAIL
272;Возврат от магазина прошёл частично, вторая часть не пришла уже неделю.;INCOMING_DELAY
273;лимит на снятие не подходит нужен временный рост;CARD_ISSUE
274;ошибка 504 при переходе в каталог платежей;APP_TECH
275;бесконтактная не работает терминал просит вставить карту полоса ок;CARD_ISSUE
276;биометрия ошибка при входе отпечаток не срабатывает;APP_LOGIN
277;капча распознаётся верно но система всё равно отвечает попробуйте позже;APP_LOGIN
278;пришло смс с кодом входа я не входил закройте доступ;FRAUD_SUSPECTED
279;перевод по реквизитам создан но кнопка подписать серого цвета;PAYMENT_OUT_FAIL
280;115 фз проверка затянулась бизнес простаивает помогите;ACCOUNT_SEIZED
281;блокировка по 115 фз бизнес стоит какие документы нужны для разблокировки;ACCOUNT_SEIZED
282;банкомат забрал карту и перезагрузился что делать где забирать;CARD_ISSUE
283;ФИО не совпадает с документом хотя совпадает как исправить;KYC_VERIFICATION
284;SWIFT USD в пути пятый день где смотреть статус;INCOMING_DELAY
285;Функция входа по лицу перестала работать, просит пин, пин забыл;APP_LOGIN
286;незнакомая подписка списывает 249 в месяц отключите;FRAUD_SUSPECTED
287;Оплата телефона по шаблону даёт 400 «неверные параметры»;PAYMENT_OUT_FAIL
288;нужно подтвердить источник средств куда грузить 2-НДФЛ;KYC_VERIFICATION
289;магическая ссылка на e-mail открывается, но приложение остаётся на экране логина;APP_LOGIN
290;анкета зависает на последнем шаге «сохранение» крутится без конца;KYC_VERIFICATION
291;некорректно применён лимит на исходящие в связи с проверкой прошу уточнить;ACCOUNT_SEIZED
292;трещина на карте терминалы часто отказывают срочно заменить;CARD_ISSUE
293;календарь списаний показывает неверные даты;APP_TECH
294;карта треснула терминалы часто отказывают как ускоренно заменить;CARD_ISSUE
295;покупка через онлайн кошелёк прошла дважды чек один;FRAUD_SUSPECTED
296;фишинговая ссылка ввел данные прошу сменить доступы;FRAUD_SUSPECTED
297;в истории вход с нового устройства город не мой;FRAUD_SUSPECTED
298;аналитика расходов крутится бесконечно;APP_TECH
299;выплата страховой задерживается второй день статус неизвестен;INCOMING_DELAY
300;двойной профиль карты одна запись серая операции путаются;CARD_ISSUE
301;двухфакторка включена, коды из генератора не принимает;APP_LOGIN
302;встроенный браузер для 3ds висит на белом экране;APP_TECH
303;приходят одноразовые коды без запроса возможно утечка;FRAUD_SUSPECTED
304;верификация отклонена без пояснений где причины;KYC_VERIFICATION
305;зачисление по QR оплате не отразилось оплата прошла;INCOMING_DELAY
306;Счёт ограничен по требованию органа операции запрещены что делать;ACCOUNT_SEIZED
307;перевод на карту втб отклонен лимит превышен но лимит еще далеко;PAYMENT_OUT_FAIL
308;карта с дефектом корпус трещина терминалы отказывают;CARD_ISSUE
309;Счёт ограничен по требованию органа операции заблокированы что делать;ACCOUNT_SEIZED
310;перевод по реквизитам создан но не подписывается кнопка серого цвета;PAYMENT_OUT_FAIL
311;просят документ подтверждения адреса живу по договору найма что подойдёт;KYC_VERIFICATION
312;Здравствуйте! Слишком много попыток входа система пишет блок 24 часа можно ли снять;APP_LOGIN
313;кнопка отправить в чате поддержки не активна;APP_TECH
314;перевод на номер ушёл не на того однофамилец как отменить;PAYMENT_OUT_FAIL
315;Международный перевод EUR отклонён: «некорректный IBAN». Проверил у получателя — верный.;PAYMENT_OUT_FAIL
316;Двухфакторная через приложение-коды: генератор работает, но система не принимает код.;APP_LOGIN
317;SWIFT USD отклонён банком-корреспондентом комментариев нет;PAYMENT_OUT_FAIL
318;Перевод по СБП возвращается: «банк получателя недоступен». Пробую с утра, без изменений.;PAYMENT_OUT_FAIL
319;двухфакторная включена но пуши не доходят;APP_LOGIN
320;кнопка «Отправить» в чате поддержки не активна;APP_TECH
321;после смены налогового статуса пришла заморозка какие документы отправить;ACCOUNT_SEIZED
322;перевод с другого банка был мгновенный сейчас уже 3 часа нет денег;INCOMING_DELAY
323;MRZ не считывается фото чёткое камера чистая;KYC_VERIFICATION
324;ИНН вводится но система говорит невалидный формат хотя номер верный;KYC_VERIFICATION
325;статус верификация отклонена без причины где детали;KYC_VERIFICATION
326;кэшбэк задерживается уже 8 рабочих дней когда будет;INCOMING_DELAY
327;сканер qr не стартует приложение просит доступ к камере хотя выдан;APP_TECH
328;селфи живость не проходит пишет поверните голову я поворачиваю;KYC_VERIFICATION
329;Зачисление кэшбэка «до 5 рабочих дней», прошло 8 — на счёте ноль.;INCOMING_DELAY
330;сессия истекает сразу после входа и снова просит авторизацию;APP_LOGIN
331;Добрый день! Возврат за отменённую подписку обещали в течение 5 дней прошло 8.;INCOMING_DELAY
332;выписка показывает сервис подписки которого нет;FRAUD_SUSPECTED
333;новый пластик приехал но не активируется автоответчик молчит;CARD_ISSUE
334;входящее по реквизитам внутри банка зависло где проверить;INCOMING_DELAY
335;перевод с маркетплейса обычно в день продажи сегодня нет;INCOMING_DELAY
336;nfc иногда срабатывает со второй-третьей попытки неудобно;CARD_ISSUE
337;captcha проходит а система отвечает «попробуйте позже»;APP_LOGIN
338;чтобы снять арест от ФССП нужна квитанция об оплате куда отправить;ACCOUNT_SEIZED
339;поступление из маркетплейса в этот раз не пришло обычно день в день;INCOMING_DELAY
340;при входе через биометрию «ошибка датчика», обычный вход просит код из push;APP_LOGIN
341;всплывает окно подтвердить через старое устройство доступа нет помогите;APP_LOGIN
342;ввожу код из смс пишет просрочен приходит с задержкой;APP_LOGIN
343;Оплата госпошлины по УИН: «получатель недоступен», проверено на портале — верный.;PAYMENT_OUT_FAIL
344;перешёл на фальшивый сайт похожий на ваш вводил данные;FRAUD_SUSPECTED
345;уведомления о платежах не приходят в настройках включены;APP_TECH
346;ошибка 401 сразу после ввода логина/пароля раньше пускало;APP_LOGIN
347;выходит ошибка 403 при входе с wi-fi через мобильный интернет пускает;APP_LOGIN
348;карта заблокирована после подозрительной операции как разблокировать;CARD_ISSUE
349;видеоидентификация обрывается на 25 секунде просит повторить;KYC_VERIFICATION
350;поступление из маркетплейса обычно день в день сегодня нет;INCOMING_DELAY
351;Возврат по спору согласован неделю назад пока не зачислен.;INCOMING_DELAY
352;просят доп документы о доходах какой размер файлов и формат;KYC_VERIFICATION
353;выписка показывает покупку ночью в зарубежном магазине я спал;FRAUD_SUSPECTED
354;зарплата обычно утром сегодня весь день тишина проверьте;INCOMING_DELAY
355;сняли все деньги осталось меньше прожиточного минимума законно ли;ACCOUNT_SEIZED
356;SEPA EUR отправили вчера вечером у меня до сих пор ноль;INCOMING_DELAY
357;после смены номера телефона приложение просит подтвердить через старый номер я его уже не использую;APP_LOGIN
358;перевод по СБП 18 000 висит «обрабатывается» второй час деньги не списаны;PAYMENT_OUT_FAIL
359;оплата в магазине не прошла списание и возврат через минуту;PAYMENT_OUT_FAIL
360;банкомат списал и не выдал наличные 10000 как вернуть деньги и сколько ждать;CARD_ISSUE
361;незнакомая подписка списывает 349 ежемесячно отключите и верните;FRAUD_SUSPECTED
362;Оплата коммуналки операция невозможна попробуйте позже;PAYMENT_OUT_FAIL
